btype;pol;pkg;vceo;ic;hfe;ft_hz;pwr_w;comment
2N2501;NPN;TO18;40;-;150typ;350M;0.36;
2N2604;PNP;TO46;60;-;60min;100M;0.4;
2N2605;PNP;TO46;60;-;150min;100M;0.4;
2N2639;NPN;TO77;45;30mA;65;32MHz;0.3;
2N2640;NPN;TO77;45;30m;65min;32MHz;0.3;
2N2641;NPN;TO77;45;30m;65min;32MHz;0.3;
2N2642;NPN;TO77;45;30m;130min;32MHz;0.3;
2N2643;NPN;TO77;45;30m;130min;32MHz;0.3;
2N2644;NPN;TO77;45;30m;130min;32MHz;0.3;
2N2696;PNP;TO18;25;0.5;30min;100M;0.36;
2N2771;NPN;TO63;150;35;10min;-;200;
2N2800;PNP;TO39;35;0.8;20min;120M;0.8;
2N2815;NPN;TO63;80;20;10-50;-;200;
2N2816;NPN;TO63;100;20;10-50;-;200;
2N2817;NPN;TO63;150;20;10-50;-;200;
2N2818;NPN;TO63;200;20;10-50;-;200;
2N2819;NPN;TO63;80;25;10-50;-;200;
2N2820;NPN;TO63;100;25;10-50;-;200;
2N2821;NPN;TO63;150;25;10-50;-;200;
2N2822;NPN;TO63;200;25;10-50;-;200;
2N2823;NPN;TO63;80;30;10-40;-;200;
2N2824;NPN;TO63;100;30;10-40;-;200;
2N2825;NPN;TO63;150;30;10-40;-;200;
2N2845;NPN;TO18;30;-;30min;250M;0.36;
2N2848;NPN;TO39;20;-;40min;250M;0.8;
2N2857;NPN;TO72;30;40mA;-;-;200mW;
2N2880;NPN;TO111;80;5;40/120;50;30;
2N2880-220M;NPN;TO220M;80;5;40/120;50;30;
2N2890;NPN;TO39;80;2;30-90;30M;0.8;
2N2891;NPN;TO39;80;2;50-150;30M;0.8;
2N2891LL;NPN;TO5;80;2;30-90;30M;0.8;
2N2892;NPN;TO59;80;2;30-90;30M;0.8;
2N2893;NPN;TO59;80;5;50/150;30;30M;
2N2894;PNP;TO18;12;0.2;40-150;400M;0.36;
2N2894A;PNP;TO18;12;0.2;40min;800M;0.36;
2N2895;NPN;TO18;65;1;50min;120M;0.5;
2N2896;NPN;TO18;90;1;50min;120M;0.5;
2N2904;PNP;TO39;40;0.6;40-120;200M;0.6;
2N2904A;PNP;TO39;60;0.6;40-120;200M;0.6;
2N2904AL;PNP;TO5;60;0.6;40-120;200M;0.6;
2N2904L;PNP;TO5;60;0.6;40-120;200M;0.6;
2N2905;PNP;TO39;40;0.6;100-300;200M;0.6;
2N2905A;PNP;TO39;60;0.6;100-300;200M;0.6;
2N2905AL;PNP;TO5;60;0.6;100-300;200M;0.6;
2N2905L;PNP;TO5;60;0.6;100-300;200M;0.6;
2N2906;PNP;TO18;40;0.6;40-120;200M;0.4;
2N2906A;PNP;TO18;60;0.6;40-120;200M;0.4;
2N2907;PNP;TO18;40;0.6;100-300;200M;0.4;
2N2907A;PNP;TO18;60;0.6;100-300;200M;0.4;
2N2913;NPN;TO77;45;30m;60-240;60M;0.6;
2N2914;NPN;TO77;45;30m;150-600;60M;0.6;
2N2915;NPN;TO77;45;30m;60-240;60M;0.6;
2N2915A;NPN;TO77;45;30m;60-240;60M;0.6;
2N2916;NPN;TO77;45;30m;150-600;60M;0.6;
2N2917;NPN;TO77;45;30m;60-240;60M;0.6;
2N2918;NPN;TO77;45;30m;150-600;60M;0.6;
2N2919;NPN;TO77;60;30m;60-240;60M;0.6;
2N2919A;NPN;TO77;60;30m;60-240;60M;0.6;
2N2920;NPN;TO77;60;30m;150-600;60M;0.6;
2N2951;NPN;TO39;60;0.25;20-150;200M;3;
2N2960;NPN;TO39;30;0.6;-;-;0.6;
2N2961;NPN;TO39;30;0.6;-;-;0.6;
2N2979;NPN;TO71;60;30mA;-;60M;250mW;"Dual Transistor"
2N2979A;NPN;TO71;60;30mA;-;60M;250mW;"Dual Transistor"
2N2991;NPN;TO5;80;1;25-75;30M;2;
2N2992;NPN;TO5;100;1;25-75;30M;2;
2N2993;NPN;TO5;80;1;60-120;30M;2;
2N2994;NPN;TO5;100;1;60-120;30M;2;
2N3011;NPN;TO18;12;0.2;-;400M;360mW;
2N3012;NPN;TO18;12;0.2;30-120;400M;0.36;
2N3014;NPN;TO18;20;0.2;30-120;350M;0.36;
2N3019;NPN;TO39;80;1;80min;100M;0.8;
2N3020;NPN;TO39;80;1;30min;80M;0.8;
2N3036;NPN;TO39;80;1.2;40min;50M;0.8;
2N3053;NPN;TO39;40;0.7;50-120;100M;0.8;
2N3053L;NPN;TO5;40;0.7;50-120;100M;0.8;
2N3054;NPN;TO66;55;4;25-100;0.8M;25;
2N3055;NPN;TO3;60;15;20min;0.8M;115;
2N3055/5;NPN;TO3;30;15;14min;0.8M;115;
2N3055/6;NPN;TO3;100;15;15-70;0.8M;115;
2N3055/7;NPN;TO3;100;15;15-70;0.8M;115;
2N3055A;NPN;TO3;60;15;20min;0.8M;115;
2N3055E;NPN;TO3;60;15;20-70;2.5M;115;
2N3055H;NPN;TO3;60;15;20min;0.8M;115;
2N3108;NPN;TO5;60;1;20min;70M;0.8;
2N3109;NPN;TO39;40;1;100-300;70M;0.8;
2N3110;NPN;TO39;40;1;40-120;70M;0.8;
2N3114;NPN;TO39;150;0.1;30-120;40M;0.8;
2N3167;PNP;TO53;40;3;12-36;1M;85;
2N3168;PNP;TO53;60;3;12-36;1M;85;
2N3169;PNP;TO53;80;3;12-36;1M;85;
2N3170;PNP;TO53;100;3;12-36;1M;85;
2N3171;PNP;TO3;40;3;12-36;1M;75;
2N3172;PNP;TO3;60;3;12-36;1M;75;
2N3173;PNP;TO3;80;3;12-36;1M;75;
2N3174;PNP;TO3;100;3;12-36;1M;75;
2N3209;PNP;TO18;20;0.2;30-120;400M;0.36;
2N3209L;PNP;TO18L;20;0.2;30-120;400M;0.36;
2N3244;PNP;TO39;40;1;50-150;175M;1;
2N3245;PNP;TO39;50;1;30-90;150M;1;
2N3250;PNP;TO18;40;0.2;50min;250M;0.36;
2N3250A;PNP;TO18;60;0.2;50min;250M;0.36;
2N3250X;PNP;TO18;40;0.2;50min;250M;0.36;
2N3251;PNP;TO18;40;0.2;100min;300M;0.36;
2N3251A;PNP;TO18;60;0.2;100min;300M;0.36;
2N3252;NPN;TO39;30;1;30-90;200M;1;
2N3300;NPN;TO39;30;0.5;35min;800M;0.8;
2N3347;PNP;TO77;45;30m;40-300;60M;0.6;
2N3348;PNP;TO77;45;30m;40-300;60M;0.6;
2N3349;PNP;TO77;45;30m;40-300;60M;0.6;
2N3350;PNP;TO77;40;0.2;50-150;250M;0.36;
2N3351;PNP;TO77;40;0.2;100-300;300M;0.36;
2N3352;PNP;TO77;40;0.2;100-300;300M;0.36;
2N3410;NPN;TO77;30;0.5;50min;250M;600;
2N3411;NPN;TO77;30;0.5;50min;250M;600;
2N3420;NPN;TO39;60;3;40-120;40M;0.8;
2N3420A;NPN;TO39;60;5;40-120;40M;0.8;
2N3420AL;NPN;TO5;60;5;40-120;40M;0.8;
2N3421;NPN;TO39;80;3;40-120;40M;0.8;
2N3421A;NPN;TO39;80;5;40-120;40M;0.8;
2N3421LP;NPN;TO39LP;80;3;40-120;40M;0.8;
2N3425;NPN;TO77;15;-;20min;300M;0.3;
2N3439;NPN;TO39;300;1;40-160;15M;5;
2N3440;NPN;TO39;250;1;40-160;15M;5;
2N3440S;NPN;TO39;250;1;40-160;15M;5;
2N3441;NPN;TO66;140;3;20/800;-;25;
2N3448;NPN;TO3;80;7.5;40-120;10Mz;115;
2N3467;PNP;TO39;40;1;40-125;175M;1;
2N3485;PNP;TO46;40;0.6;40/120;200;0.4;
2N3485A;PNP;TO46;60;0.6;40/120;200;0.4;
2N3486;PNP;TO46;60;0.6;100/300;200;0.4;
2N3486A;PNP;TO46;60;0.6;100/300;200;0.4;
2N3500;NPN;TO39;150;0.3;40/120;150M;1;
2N3501;NPN;TO39;150;0.3;100/300;150M;1;
2N3501L;NPN;TO5;150;0.3;100/300;150M;1;
2N3506;NPN;TO39;40;3;40/120;60M;1;
2N3506L;NPN;TO5;40;3;40/120;60M;1;
2N3507;NPN;TO39;50;3;30/120;60M;1;
2N3507L;NPN;TO5;50;3;30/120;60M;1;
2N3507X;NPN;TO39;50;3;30/120;60M;1;
2N3508;NPN;TO46;20;0.5;40-160;500M;0.4;
2N3509;NPN;TO46;20;0.5;100-200;500M;0.4;
2N3511;NPN;TO52;40;0.5;15min;-;0.36;
2N3571;NPN;TO72;15;50m;20min;1.2G;0.2;
2N3583;NPN;TO66;175;1;40-200;10M;35;
2N3584;NPN;TO66;250;2;25-100;10M;35;
2N3584X;NPN;TO66;250;2;25-100;10M;35;
2N3585;NPN;TO66;300;2;25-100;10M;35;
2N3634;PNP;TO39;140;1;50-150;-;1;
2N3635;PNP;TO39;140;1;100/300;-;1;
2N3636;PNP;TO39;175;1;50/150;-;1;
2N3637;PNP;TO39;175;1;100/300;-;1;
2N3665;NPN;TO39;80;1;40/100;50M;5;
2N3680;NPN;TO77;50;30m;150-600;60M;0.6;
2N3700;NPN;TO18;80;1;-;100M;0.5;
2N3701;NPN;TO18;80;1;30min;80M;0.5;
2N3713;NPN;TO3;60;10;25-90;4M;150;
2N3714;NPN;TO3;80;10;25-90;4M;150;
2N3715;NPN;TO3;60;10;50-150;4M;150;
2N3716;NPN;TO3;80;10;50-150;4M;150;
2N3719;NPN;TO39;40;3;25-180;60M;6;
2N3720;NPN;TO39;60;3;25-180;60M;6;
2N3724;NPN;TO39;30;0.5;60-150;300M;0.8;
2N3724A;NPN;TO39;30;1.2;60-150;300M;0.8;
2N3725;NPN;TO39;50;0.5;60-150;300M;0.8;
2N3725A;NPN;TO39;50;1.2;60-150;300M;1;
2N3734;NPN;TO39;30;1.5;30-120;300M;1;
2N3735;NPN;TO39;50;1.5;20-80;250M;1;
2N3738;NPN;TO66;225;-;40-200;10M;20;
2N3739;NPN;TO66;300;-;40-200;10M;20;
2N3740AR;PNP;TO66;60;4;30-180;4M;25;
2N3741;PNP;TO66;80;4;30-100;4M;25;
2N3741R;PNP;TO66;80;4;30-180;4M;25;
2N3762;PNP;TO39;40;1.5;30-120;180M;1;
2N3763;PNP;TO39;60;1.5;20-80;150M;1;
2N3764;PNP;TO46;40;1.5;30-120;180M;0.5;
2N3765;PNP;TO46;60;1.5;20-80;150M;0.5;
2N3766;NPN;TO66;60;4;40-160;10M;20;
2N3767;NPN;TO66;80;4;40-160;10M;20;
2N3771;NPN;TO3;40;30;15-60;-;150;
2N3772;NPN;TO3;60;30;15-60;-;150;
2N3773;NPN;TO3;140;16;5-60;-;150;
2N3782;PNP;TO39;40;3;5-60;1M;5;
2N3789;PNP;TO3;60;10;25-90;4M;150;
2N3790;PNP;TO3;80;10;25-90;4M;150;
2N3791;PNP;TO3;60;10;50-150;4M;150;
2N3792;PNP;TO3;80;10;50-150;4M;150;
2N3799;PNP;TO18;60;-;250min;500M;0.36;
2N3799X;PNP;TO18;50;-;250min;500M;0.36;
2N3800;PNP;TO71;60;50mA;150;100M;0.25;"Dual Transistor"
2N3801;PNP;TO71;60;50mA;300;100M;0.25;"Dual Transistor"
2N3802;PNP;TO71;60;50mA;150;100M;0.25;"Dual Transistor"
2N3803;PNP;TO71;60;50mA;300;100M;0.25;"Dual Transistor"
2N3804;PNP;TO71;60;50mA;150;100M;0.25;"Dual Transistor"
2N3805;PNP;TO71;60;50mA;300;100M;0.25;"Dual Transistor"
2N3805A;PNP;TO71;60;50mA;300;100M;0.25;"Dual Transistor"
2N3806;PNP;TO77;60;50mA;150min;100M;0.5;
2N3807;PNP;TO77;60;50m;300min;100M;0.5;
2N3808;PNP;TO77;60;50m;150min;100M;0.5;
2N3809;PNP;TO77;60;50m;300min;100M;0.5;
2N3810;PNP;TO77;60;50m;150min;100M;0.5;
2N3811;PNP;TO77;60;50m;300min;100M;0.5;
2N3811A;PNP;TO77;60;50m;300min;100M;0.5;
2N3829;PNP;TO52;35;0.2;30min;350M;0.36;
2N3830;NPN;TO39;50;1.2;30min;200M;1;
2N3830L;NPN;TO5;50;1.2;30min;200M;1;
2N3831;NPN;TO39;40;1.2;35min;200M;1;
2N3867;PNP;TO39;40;1;25min;80M;1;
2N3868;PNP;TO39;60;1;20min;60M;1;
2N3879;NPN;TO66;75;7;12-100;40M;35;
2N3902;NPN;TO3;400;2.5;30-90;-;100;
2N3907;NPN;TO77;45;30m;120min;60M;0.3;
2N3917;NPN;TO3;40;2;30-120;50M;20;
2N3918;NPN;TO3;40;2;100-300;50M;20;
2N3931;PNP;TO39;180;0.1;100min;40M;0.7;
2N3945;NPN;TO39;50;1;40-150;60M;5;
2N3947;NPN;TO18;40;0.2;100min;300M;0.36;
2N3962;PNP;TO18;60;0.2;100-450;40M;0.36;
2N3963;PNP;TO18;80;0.2;100-450;40M;0.36;
2N3964;PNP;TO18;45;0.2;250-600;40M;0.36;
2N3965;PNP;TO18;45;0.2;250-600;40M;0.36;
2N3996;NPN;TO111;80;5;40-120;40M;30;
2N3997;NPN;TO111;80;5;80-240;40M;30;
2N3998;NPN;TO59;80;5;40-120;40M;30;
2N3999;NPN;TO59;80;5;80-240;40M;30;
2N4000;NPN;TO39;80;1;30-120;40M;1;
2N4001;NPN;TO39;100;1;40-120;40M;1;
2N4026;PNP;TO18;60;1;30min;100M;0.5;
2N4027;PNP;TO18;80;1;30min;100M;0.5;
2N4028;PNP;TO18;60;1;75min;150M;0.5;
2N4029;PNP;TO18;80;1;75min;150M;0.5;
2N4030;PNP;TO39;60;1;30min;100M;0.8;
2N4031;PNP;TO39;80;1;30min;100M;0.8;
2N4032;PNP;TO39;60;1;75min;150M;0.8;
2N4033;PNP;TO39;80;1;75min;150M;0.8;
2N4036;PNP;TO39;65;1;40-140;60M;1;
2N4037;PNP;TO39;40;1;50-250;60M;1;
2N4046;NPN;TO39;30;0.5;150min;250M;0.8;
2N4111;NPN;TO3;60;5;40-120;50M;30;
2N4112;NPN;TO3;60;5;100-200;60M;30;
2N4113;NPN;TO3;80;5;40-120;50M;30;
2N4114;NPN;TO3;80;5;100-200;60M;30;
2N4150;NPN;TO39;80;5;40-120;15M;5;
2N4231;NPN;TO66;40;5;25-100;4M;35;
2N4231A;NPN;TO66;40;5;25-100;4M;35;
2N4232;NPN;TO66;60;5;25-100;4M;35;
2N4232A;NPN;TO66;60;5;25-100;4M;35;
2N4233;NPN;TO66;80;5;25-100;4M;35;
2N4233A;NPN;TO66;80;5;25-100;4M;35;
2N4234;PNP;TO39;40;3;30-150;3M;6;
2N4235;PNP;TO39;60;3;30-150;3M;6;
2N4236;PNP;TO39;80;3;30-150;3M;6;
2N4237;PNP;TO39;40;1;30min;1M;0.8;
2N4238;NPN;TO39;60;1;30min;1M;0.8;
2N4239;PNP;TO39;80;1;30min;1M;0.8;
2N4240;NPN;TO66;300;5;10-100;15M;35;
2N4260;PNP;TO72;15;30m;25min;.6G;0.2;
2N4269;NPN;TO18;140;30m;200typ;-;0.36;
2N4269S;NPN;TO18;140;30m;200typ;-;0.36;
2N4272;NPN;TO39;140;2.5;20-140;0M;5;
2N4272A;NPN;TO39;140;2.5;20-140;0M;5;
2N4273;NPN;TO66;140;2.5;20-140;0M;25;
2N4300;NPN;TO39;80;2;30-120;30M;15;
2N4311;NPN;TO39;60;5;40-120;-;1.5;
2N4358;PNP;TO39;240;0.1;100min;40M;0.7;
2N4388;PNP;TO66;60;2;25-100;25M;20;
2N4395;NPN;TO3;40;5;50-170;4M;62;
2N4396;NPN;TO3;60;5;50-170;4M;62;
2N4399;PNP;TO3;60;30;15-60;4M;200;
2N4427;NPN;TO39;40;0.4;10-200;500M;2;
2N4863;NPN;TO39;120;2;50-150;50M;4;
2N4864;NPN;TO66;120;2;50-150;50M;16;
2N4895;NPN;TO39;60;5;40min;50M;0.8;
2N4896;NPN;TO39;60;5;1-0min;50M;0.8;
2N4897;NPN;TO39;80;5;40min;50M;0.8;
2N4898;PNP;TO66;40;4;20-100;3M;25;
2N4899;PNP;TO66;60;4;20-100;3M;25;
2N4900;PNP;TO66;80;4;20-100;3M;25;
2N4901;PNP;TO3;40;5;20-80;4M;87;
2N4902;PNP;TO3;60;5;20-80;4M;87;
2N4903;PNP;TO3;80;5;20-80;4M;87;
2N4904;PNP;TO3;40;5;25-100;4M;87;
2N4905;PNP;TO3;60;5;25-100;4M;87;
2N4906;PNP;TO3;80;5;25-100;4M;87;
2N4907;PNP;TO3;40;10;20-80;4M;150;
2N4908;PNP;TO3;60;10;20-80;4M;150;
2N4909;PNP;TO3;80;10;20-80;4M;150;
2N4910;NPN;TO66;40;4;20-100;3M;25;
2N4911;NPN;TO66;60;4;20-100;3M;25;
2N4912;NPN;TO66;80;4;20-100;3M;25;
2N4912X;NPN;TO66M;80;4;20-175;3M;25;
2N4913;NPN;TO3;40;5;25/100;4M;88;
2N4914;NPN;TO3;60;5;25-100;4M;88;
2N4915;NPN;TO3;80;5;25-100;4M;88;
2N4924;NPN;TO39;100;0.2;40-200;100M;1;
2N4925;NPN;TO39;150;0.2;40-200;100M;1;
2N4928;PNP;TO39;100;0.1;20min;100M;0.6;
2N4929;PNP;TO39;150;50m;25-250;100M;1;
2N4930;PNP;TO39;200;50m;25-200;20M;1;
2N4931;PNP;TO39;250;0.5;20min;20M;1;
2N4937;PNP;TO79;40;50m;50min;300M;0.5;
2N4939;PNP;TO79;40;50m;50min;300M;0.5;
2N4999;PNP;TO59;80;2;30-90;50M;30;
2N5000;NPN;TO59;80;2;70-200;60M;30;
2N5001;PNP;TO59;80;2;70-200;60M;30;
2N5001S;PNP;TO59;80;2;70-200;60M;30;
2N5002;NPN;TO59;80;2;30-90;60M;50;
2N5010;NPN;TO39;500;0.5;30-180;20M;2;
2N5011;NPN;TO39;600;0.5;30-180;20M;2;
2N5012;NPN;TO39;700;0.5;30-180;20M;2;
2N5013;NPN;TO39;800;0.5;30-180;20M;2;
2N5014;NPN;TO39;900;0.5;30-180;20M;2;
2N5015;NPN;TO39;1000;0.5;30-180;20M;2;
2N5015S;NPN;TO39;1000;0.5;30-180;20M;2;
2N5023;PNP;TO39;30;0.5;40-100;200M;1;
2N5023S;PNP;TO39;30;0.5;40-100;200M;1;
2N5038;NPN;TO3;90;20;20-100;50M;140;
2N5039;NPN;TO3;75;20;20-100;50M;140;
2N5050;NPN;TO66;125;2;25-100;10M;40;
2N5051;NPN;TO66;150;2;25-100;10M;40;
2N5052;NPN;TO66;200;2;25-100;10M;40;
2N5058;NPN;TO39;300;0.15;35-150;30M;1;
2N5067;NPN;TO3;40;5;20-80;4M;88;
2N5068;NPN;TO3;60;5;20-80;4M;88;
2N5069;NPN;TO3;80;5;20-80;4M;88;
2N5092;NPN;TO39;350;1;15-250;50M;2;
2N5095;NPN;TO39;400;1;15-250;50M;2;
2N5097;NPN;TO39;450;1;15-250;50M;2;
2N5097S;NPN;TO39;450;1;50-250;50M;2;
2N5099;NPN;TO39;550;1;15-250;50M;2;
2N5147;PNP;TO39;20;2;30-90;50M;1;
2N5148;NPN;TO39;80;2;30-90;50M;1;
2N5150;NPN;TO39;80;2;70/200;60M;1;
2N5151;PNP;TO39;80;5;30-90;60M;10;
2N5151A;PNP;TO39;80;5;30-150;60M;10;
2N5151S;PNP;TO39;80;5;30-90;60M;10;
2N5152;NPN;TO39;80;5;30-90;60M;10;
2N5152-SM;NPN;TO220SM;80;5;30-90;60M;10;
2N5152S;NPN;TO39;80;5;30-90;60M;10;
2N5153;PNP;TO39;80;5;70-200;60M;10;
2N5153-220M;PNP;TO220M;80;5;70-200;60M;10;
2N5153-SM;PNP;TO220SM;80;5;70-200;60M;10;
2N5153S;PNP;TO39;80;5;70-200;60M;10;
2N5154;NPN;TO39;80;5;70-200;60M;10;
2N5154-220M;NPN;TO220M;80;5;70-200;60M;10;
2N5154-SM;NPN;TO220SM;80;5;70-200;60M;10;
2N5154A;NPN;TO39;80;5;60-200;60M;10;
2N5154S;NPN;TO39;80;5;70-200;60M;10;
2N5157;NPN;TO3;500;3.5;30-90;2.8M;100;
2N5179;NPN;TO72;12;50m;25min;900M;1.1m;
2N5239;NPN;TO3;225;5;20-80;5M;100;
2N5240;NPN;TO3;300;5;20/80;2M;100;
2N5241;NPN;TO3;400;5;15-35;2.5M;125;
2N5252;NPN;TO39;300;1;40-120;30M;1;
2N5253;NPN;TO39;300;1;80-250;30M;1;
2N5301;NPN;TO3;40;30;15-60;2M;200;
2N5302;NPN;TO3;60;30;15-60;2M;200;
2N5303;NPN;TO3;80;30;15-60;2M;200;
2N5320;NPN;TO39;75;2;30-120;50M;10;
2N5321;NPN;TO39;50;2;40-250;50M;10;
2N5322;PNP;TO39;75;2;30-130;50M;10;
2N5323;PNP;TO39;50;2;40-250;50M;10;
2N5333;PNP;TO39;80;2;30-120;30M;1;
2N5334;NPN;TO39;60;3;30-150;40M;6;
2N5335;NPN;TO39;80;3;30-150;40M;6;
2N5336;NPN;TO39;80;5;30-120;30M;6;
2N5336X;NPN;TO39;80;5;30-120;30M;6;
2N5337;NPN;TO39;80;5;60-240;30M;6;
2N5337A-220M;NPN;TO220M;80;5;60-240;30M;6;
2N5337X;NPN;TO39;80;5;60-240;30M;6;
2N5338;NPN;TO39;100;5;30-120;30M;6;
2N5338X;NPN;TO39;100;5;30-120;30M;6;
2N5339;NPN;TO39;100;5;60-240;30M;6;
2N5339X;NPN;TO39;100;5;60-240;30M;6;
2N5344;PNP;TO66;250;1;25/150;60M;40;
2N5344A;PNP;TO66;250;1;25/180;60M;40;
2N5345;NPN;TO66;300;1;25/150;80M;40;
2N5345A;NPN;TO66;300;1;25/180;80M;40;
2N5357;NPN;TO3;60;20;500-5k;-;150;
2N5385;PNP;TO111;80;5;20/80;30M;-;
2N5404;PNP;TO39;80;5;20-60;40M;1;
2N5405;PNP;TO39;100;5;20-60;40M;1;
2N5406;PNP;TO39;80;5;40-120;40M;1;
2N5407;PNP;TO39;100;5;40-120;40M;1;
2N5408;PNP;TO111;80;5;20-60;40M;30;
2N5409;PNP;TO111;100;5;20-60;40M;30;
2N5410;PNP;TO111;80;5;40-120;40M;30;
2N5411;PNP;TO111;100;5;40-120;40M;30;
2N5411A;PNP;TO111;100;5;40-200;40M;30;
2N5414;NPN;TO39;50;2;20/100;250M;1;
2N5415;PNP;TO39;200;1;30-150;15M;10;
2N5416;PNP;TO39;300;1;30-150;15M;10;
2N5416-220M;PNP;TO220M;300;1;30-150;15M;10;
2N5427;NPN;TO66;80;7;50-120;30M;40;
2N5428;NPN;TO66;80;7;60-240;30M;40;
2N5429;NPN;TO66;80;7;30-120;30M;40;
2N5430;NPN;TO66;100;7;60-240;30M;40;
2N5466;NPN;TO39;400;3;15/60;2.5M;-;
2N5467;NPN;TO39;400;3;15/60;2.5M;-;
2N5468;NPN;TO66;400;3;15/60;2.5M;40;
2N5469;NPN;TO66;400;3;15/60;2.5M;40;
2N5477;NPN;TO59;80;7;30-120;30M;60;
2N5478;NPN;TO59;100;7;60-240;30M;60;
2N5479;NPN;TO59;100;7;30-120;30M;60;
2N5480;NPN;TO59;100;7;60-240;30M;60;
2N5498;NPN;TO3;130;15;Oct-50;1M;200;
2N5575;NPN;TO3;70;80;Oct-40;-;150;
2N5581;NPN;TO46;40;0.8;20min;250M;2;
2N5582;NPN;TO46;40;0.8;35min;250M;2;
2N5583;PNP;TO39;30;0.5;25/100;-;5;
2N5583LP;PNP;TO39LP;30;0.5;25/100;-;5;
2N5597;PNP;TO66;60;2;70-200;60M;20;
2N5598;NPN;TO66;60;2;70-200;60M;20;
2N5599;PNP;TO66;80;2;30-90;50M;20;
2N5600;PNP;TO66;80;2;30-90;50M;20;
2N5601;PNP;TO66;80;2;70-200;50M;20;
2N5602;NPN;TO66;80;2;70-200;50M;20;
2N5603;PNP;TO66;100;2;30-90;50M;20;
2N5604;NPN;TO66;100;2;30-90;50M;20;
2N5605;PNP;TO66;60;5;70-200;70M;25;
2N5606;NPN;TO66;60;5;70-200;70M;25;
2N5607;PNP;TO66;80;5;30-90;60M;25;
2N5608;NPN;TO66;80;5;30-90;60M;25;
